[2026-04-01 12:23:03] [PAGE  ] [admin/admin] [103.215.54.146] GET /vehicles/requests.php | Page loaded
[2026-04-01 12:23:27] [PAGE  ] [admin/admin] [103.215.54.146] POST /vehicles/requests.php | Page loaded
[2026-04-01 12:23:29] [PAGE  ] [admin/admin] [103.215.54.146] POST /vehicles/requests.php | Page loaded
[2026-04-01 12:23:38] [PAGE  ] [admin/admin] [103.215.54.146] POST /vehicles/requests.php | Page loaded
[2026-04-01 12:43:41] [PAGE  ] [admin/admin] [103.215.54.146] GET /index.php | Page loaded
[2026-04-01 12:43:43] [PAGE  ] [admin/admin] [103.215.54.146] GET /reservations/index.php?due_today=1 | Page loaded
[2026-04-01 12:43:49] [PAGE  ] [admin/admin] [103.215.54.146] GET /reservations/show.php?id=115 | Page loaded
[2026-04-01 12:43:51] [PAGE  ] [admin/admin] [103.215.54.146] GET /reservations/bill.php?id=115 | Page loaded
[2026-04-01 12:44:35] [PAGE  ] [admin/admin] [103.215.54.146] GET /reservations/show.php?id=115 | Page loaded
[2026-04-01 12:44:37] [PAGE  ] [admin/admin] [103.215.54.146] GET /index.php | Page loaded
[2026-04-01 12:44:40] [PAGE  ] [admin/admin] [103.215.54.146] GET /vehicles/index.php?overdue=1 | Page loaded
[2026-04-01 12:44:53] [PAGE  ] [admin/admin] [103.215.54.146] GET /index.php | Page loaded
[2026-04-01 12:45:24] [PAGE  ] [admin/admin] [103.215.54.146] GET /leads/pipeline.php | Page loaded
[2026-04-01 12:46:30] [PAGE  ] [admin/admin] [103.215.54.146] GET /leads/create.php | Page loaded
[2026-04-01 12:47:42] [PAGE  ] [admin/admin] [103.215.54.146] POST /leads/create.php | Page loaded
[2026-04-01 12:47:42] [ACTION] [admin/admin] [103.215.54.146] POST /leads/create.php | Created lead: Ramees (ID: 572)
[2026-04-01 12:47:42] [PAGE  ] [admin/admin] [103.215.54.146] GET /leads/show.php?id=572 | Page loaded
[2026-04-01 12:47:45] [PAGE  ] [admin/admin] [103.215.54.146] GET /leads/edit.php?id=572 | Page loaded
[2026-04-01 12:47:50] [PAGE  ] [admin/admin] [103.215.54.146] POST /leads/edit.php?id=572 | Page loaded
[2026-04-01 12:47:50] [ACTION] [admin/admin] [103.215.54.146] POST /leads/edit.php?id=572 | Updated lead (ID: 572)
[2026-04-01 12:47:50] [PAGE  ] [admin/admin] [103.215.54.146] GET /leads/show.php?id=572 | Page loaded
